Коронка металлокерамическая;1000,00;Ceramet
Коронка металлокерамическая с плечевой массой ;1500,00;Ceramet
Коронка металлокерамическая с имитацией десны  ;1500,00;Ceramet
Коронка металлокерамическая на импланте - цементная фиксация;1200,00;Ceramet
Коронка металлокерамическая на импланте - винтовая фиксация;1300,00;Ceramet
Цельнокерамическая  коронка ZrO2 (мульти, наслоение …);2000,00;ZrO2
Индивидуальный абатмент  ZrO2 ;1500,00;ZrO3
Коронка ZrO2 на импланте винтовая фиксация (мульти, наслоение …);2200,00;ZrO4
Безметалловая керамическая  коронка  (винир, вкладка);2500,00;Nonmetal ceramic
Безметалловая керамическая  коронка  (винир, вкладка);2200,00;Nonmetal ceramic
За одну единицу;200,00;Wax model
Полная верхняя челюсть / нижняя челюсть;5200,00;Wax model
Сканирование модели;200,00;Digital model
Цифровой WAX-UP (1 зуб);150,00;Digital model
Принтованая модель ;750,00;Digital model
Разборная принтованая модель ;750,00;Digital model
 +  Дополнительный столбик;100,00;Digital model
Изготовление диагностической модели;50,00;Other works
Загипсовка в артикулятор (артикуляционный гипс);100,00;Other works
Вкладка литая однокорневая;500,00;Other works
Вкладка литая многокорневая с запирающим штифтом(100);500,00;Other works
Культевая вкладка с напрессовкой;1200,00;Other works
Фрезеровка одного аббатмента;150,00;Other works
Изготовление трансфер-чека (полная челюсть);300,00;Other works
Литая коронка;700,00;Other works
Фрезерованная временная коронка PMMA на импланте;450,00;Other works
Фрезерованная временная коронка PMMA;350,00;Other works
Армирующая литая балка под каркас PMMA;1000,00;Other works
Изготовление индивидуальной ложки;250,00;Other works
Восковый шаблон;100,00;Other works
Диагностическая постановка (одна челюсть);1000,00;Other works
Замена матрицы ;500,00;Other works
Каппа для отбеливания;450,00;Kappa
Каппа ночная;450,00;Kappa
Оклюзионная шина;1500,00;Kappa
Бюгельный протез кламмерная фиксация ;4000,00;Bugel rothesis
Бюгельный протез замковая фиксация ;5000,00;Bugel rothesis
